Axial load (kN),lat disp top (mm),Lat drift,Lat Load_Resultant (kN),Total Load (kN)
250.0179168,-0.186760021,-0.007701444,-28.50915635,-28.50915635
249.946518,-0.190562381,-0.007858243,-31.46108612,-31.46108612
250.0376723,-0.188735654,-0.007782914,-28.7660269,-28.7660269
250.0099653,-0.176682975,-0.007285896,-29.31225004,-29.31225004
249.9509446,-0.19207967,-0.007920811,-29.52528017,-29.52528017
250.0105938,-0.179273603,-0.007392726,-30.17860334,-30.17860334
249.9784329,-0.185398131,-0.007645284,-32.2729362,-32.2729362
249.9699078,-0.188613899,-0.007777893,-31.434496,-31.434496
249.88788,-0.192610334,-0.007942694,-31.88549781,-31.88549781
250.0220153,-0.187049398,-0.007713377,-31.36405678,-31.36405678
249.9219807,-0.193064811,-0.007961436,-31.03866538,-31.03866538
249.9688149,-0.178062855,-0.007342798,-34.20147618,-34.20147618
249.9018974,-0.188686563,-0.007780889,-33.20046813,-33.20046813
249.9270903,-0.179525883,-0.007403129,-31.82468419,-31.82468419
249.9299595,-0.184893284,-0.007624465,-33.48544739,-33.48544739
249.997314,-0.185772625,-0.007660727,-32.72280808,-32.72280808
249.9570926,-0.190354567,-0.007849673,-35.97582007,-35.97582007
249.9314077,-0.188720147,-0.007782274,-33.82054325,-33.82054325
249.9560544,-0.184452054,-0.00760627,-35.16507843,-35.16507843
249.9481576,-0.181010577,-0.007464354,-35.28557535,-35.28557535
249.9508079,-0.185068117,-0.007631675,-34.85021542,-34.85021542
249.9450973,-0.189260641,-0.007804563,-34.39682175,-34.39682175
249.9699351,-0.187336584,-0.00772522,-34.93417482,-34.93417482
249.9181553,-0.184625501,-0.007613423,-36.37525646,-36.37525646
249.958896,-0.186596734,-0.007694711,-35.46500327,-35.46500327
249.9350145,-0.193875391,-0.007994861,-36.3793272,-36.3793272
249.9429659,-0.186519842,-0.00769154,-36.90926121,-36.90926121
249.9094662,-0.189517227,-0.007815143,-37.36845178,-37.36845178
249.947775,-0.189634969,-0.007819999,-37.84170958,-37.84170958
249.9513272,-0.18888818,-0.007789203,-36.23148828,-36.23148828
249.975236,-0.19765646,-0.008150782,-36.85947129,-36.85947129
249.9553984,-0.182536027,-0.007527259,-38.98497743,-38.98497743
249.9937073,-0.200112367,-0.008252056,-38.95309681,-38.95309681
249.9409439,-0.194493108,-0.008020334,-38.32365336,-38.32365336
249.9999098,-0.191318493,-0.007889422,-38.86339586,-38.86339586
249.9974234,-0.191753129,-0.007907346,-38.52990084,-38.52990084
249.9620657,-0.200376312,-0.008262941,-36.95728195,-36.95728195
249.9763836,-0.204942565,-0.00845124,-39.25011543,-39.25011543
249.9300141,-0.215216522,-0.008874908,-38.69479138,-38.69479138
249.9654539,-0.221652495,-0.009140309,-38.64894257,-38.64894257
249.9677218,-0.228783583,-0.009434375,-38.42615267,-38.42615267
249.948786,-0.227047924,-0.009362801,-40.09393424,-40.09393424
249.9525568,-0.222329784,-0.009168239,-40.32143781,-40.32143781
249.9573658,-0.226294874,-0.009331747,-39.96357906,-39.96357906
249.9037555,-0.229641339,-0.009469746,-40.6569224,-40.6569224
249.9984617,-0.231725368,-0.009555685,-39.93939826,-39.93939826
249.9778591,-0.227489903,-0.009381027,-39.72323427,-39.72323427
249.9419549,-0.239362705,-0.009870627,-39.97066923,-39.97066923
249.9714653,-0.229879948,-0.009479585,-39.07479382,-39.07479382
249.9098761,-0.241898398,-0.009975192,-39.18102382,-39.18102382
249.8775513,-0.24216834,-0.009986323,-37.73970344,-37.73970344
249.9334297,-0.239241165,-0.009865615,-39.99078833,-39.99078833
