Axial load (kN),lat disp top (mm),Lat drift,Lat Load Act 1(kN),Lat load Act 2 (kN),Total Load (kN)
242.8960476,-0.011868,-0.000489402,0.16653369,-2.77281561,-2.60628192
242.8594603,0.001555,6.41E-05,-2.37289085,0.55222437,-1.82066648
242.8556896,-0.011074,-0.00045666,-3.43833619,-0.8986521,-4.33698829
242.7506823,-0.00913,-0.000376495,-2.82908414,-6.42028392,-9.24936806
242.7472394,-0.015945,-0.000657526,-4.51166763,-6.30151063,-10.81317826
242.7361184,-0.029213,-0.00120466,-6.39500359,-3.53797525,-9.93297884
242.6493911,-0.068532,-0.002826062,-7.23233514,-5.20596819,-12.43830333
242.5998248,-0.120142,-0.004954309,-8.48855534,-6.34617809,-14.83473343
242.5876656,-0.165516,-0.006825402,-11.45430888,-6.24433357,-17.69864245
242.559986,-0.196551,-0.008105196,-11.42276452,-10.1797608,-21.60252532
242.4685862,-0.208359,-0.008592124,-13.4397526,-8.11074656,-21.55049916
242.4857185,-0.207867,-0.008571835,-11.87508333,-14.55217443,-26.42725776
242.4151672,-0.206381,-0.008510557,-12.53295486,-8.69421095,-21.22716581
242.3729512,-0.197398,-0.008140124,-10.05713336,-11.12780545,-21.18493881
242.3057607,-0.204869,-0.008448206,-8.8667106,-12.67464557,-21.54135617
242.2894481,-0.204394,-0.008428619,-8.28310549,-14.08622556,-22.36933105
242.2919073,-0.20087,-0.008283299,-9.82853955,-10.65196447,-20.48050402
242.1602862,-0.204766,-0.008443959,-6.87598664,-17.58181092,-24.45779756
242.1816811,-0.202347,-0.008344206,-8.63893969,-12.1046426,-20.74358229
242.1806975,-0.2003,-0.008259794,-10.20837489,-11.57410608,-21.78248097
242.1633192,-0.20081,-0.008280825,-10.39537814,-11.59219062,-21.98756876
242.0721107,-0.211425,-0.008718557,-9.75036438,-15.43726313,-25.18762751
241.9856293,-0.212583,-0.008766309,-11.7468829,-12.31812177,-24.06500467
242.0112595,-0.228364,-0.009417072,-13.32255841,-12.07907949,-25.4016379
241.9815307,-0.234514,-0.00967068,-14.07989756,-11.32068456,-25.40058212
241.9066894,-0.239161,-0.009862309,-12.52870323,-15.49308045,-28.02178368
241.9221549,-0.255201,-0.010523753,-12.19375003,-16.77113399,-28.96488402
241.9136024,-0.277694,-0.011451299,-15.16858973,-12.16413122,-27.33272095
241.9319098,-0.276562,-0.011404619,-15.45547205,-13.9051082,-29.36058025
241.9175099,-0.298338,-0.012302598,-16.86715112,-15.4891712,-32.35632232
241.8410018,-0.355952,-0.014678433,-17.62449027,-15.448379,-33.07286927
241.8936557,-0.384983,-0.015875588,-18.08171218,-13.98948007,-32.07119225
241.8236508,-0.395841,-0.01632334,-17.74144444,-16.40057087,-34.14201531
241.641152,-0.400021,-0.016495711,-17.59397452,-17.59632614,-35.19030066
241.6367801,-0.396471,-0.01634932,-17.11909462,-16.97050585,-34.08960047
241.654978,-0.396324,-0.016343258,-17.89601185,-17.43931018,-35.33532203
241.587651,-0.403563,-0.016641773,-17.73520415,-16.50669857,-34.24190272
241.4922892,-0.399443,-0.016471876,-15.56087138,-22.08044241,-37.64131379
241.59869,-0.398138,-0.016418062,-16.32719382,-18.12747454,-34.45466836
241.4785725,-0.425779,-0.017557897,-16.4522741,-18.14562707,-34.59790117
241.5020713,-0.436144,-0.01798532,-17.81564229,-17.82126112,-35.63690341
241.3735925,-0.453221,-0.018689526,-17.61286685,-20.41890823,-38.03177508
241.4524504,-0.466817,-0.019250186,-18.96186864,-19.88663805,-38.84850669
241.2403593,-0.464519,-0.019155423,-18.67635782,-21.18056654,-39.85692436
241.2974124,-0.467974,-0.019297897,-18.09155265,-17.38250704,-35.47405969
241.4240058,-0.487556,-0.020105402,-19.85028836,-20.08329043,-39.93357879
241.3331252,-0.506006,-0.020866227,-19.83900781,-21.39438564,-41.23339345
241.2882589,-0.505522,-0.020846268,-19.48821386,-22.27097597,-41.75918983
241.2043186,-0.528801,-0.021806227,-20.18657876,-22.58137059,-42.76794935
241.1328109,-0.533146,-0.021985402,-21.59452051,-21.41233421,-43.00685472
241.1818307,-0.546102,-0.02251967,-23.33103801,-18.53665427,-41.86769228
241.1635507,-0.560035,-0.023094227,-21.89038612,-23.42478326,-45.31516938
241.0594999,-0.570694,-0.023533773,-21.55752445,-25.09869107,-46.65621552
241.1066616,-0.582856,-0.024035299,-21.18272935,-25.50732691,-46.69005626
241.0903217,-0.587356,-0.024220866,-22.12295726,-24.28124944,-46.4042067
241.0076931,-0.589438,-0.024306722,-20.58256345,-29.18963855,-49.772202
241.0227214,-0.581456,-0.023977567,-19.69407516,-26.35053562,-46.04461078
240.8012034,-0.599241,-0.024710969,-21.47345185,-21.27105723,-42.74450908
240.9627447,-0.615092,-0.025364619,-22.23168247,-23.2044714,-45.43615387
241.0776433,-0.619359,-0.025540577,-23.51862414,-23.59016163,-47.10878577
240.8620821,-0.625232,-0.025782763,-22.33217871,-27.16600563,-49.49818434
240.7789341,-0.633602,-0.026127918,-22.87563333,-26.72293439,-49.59856772
240.5039697,-0.651931,-0.026883753,-23.66983138,-27.36276,-51.03259138
241.067014,-0.661804,-0.027290887,-24.55982832,-25.94193378,-50.5017621
240.5172766,-0.685204,-0.028255835,-25.02126757,-27.70973163,-52.7309992
240.4855531,-0.696001,-0.028701072,-24.37107642,-28.37994743,-52.75102385
240.7278378,-0.719323,-0.029662804,-24.28055779,-27.68080316,-51.96136095
240.8991883,-0.73868,-0.030461031,-27.09548125,-25.42098343,-52.51646468
240.2961963,-0.743621,-0.030664784,-27.13230588,-26.20201803,-53.33432391
240.0346208,-0.760844,-0.03137501,-26.7799347,-28.16028145,-54.94021615
240.9459675,-0.759609,-0.031324082,-27.75568432,-25.66590658,-53.4215909
240.6947209,-0.768126,-0.031675299,-26.70511969,-28.12152886,-54.82664855
240.0010663,-0.774924,-0.031955629,-25.48716418,-30.94581063,-56.43297481
240.4129253,-0.78446,-0.032348866,-27.00300825,-25.94067602,-52.94368427
239.4506187,-0.795948,-0.032822598,-28.09780357,-28.03494742,-56.13275099
238.3680597,-0.790541,-0.032599629,-27.44404653,-28.00132785,-55.44537438
240.1242998,-0.821913,-0.03389332,-28.92958057,-27.92756196,-56.85714253
238.6958398,-0.824193,-0.03398734,-27.20958958,-31.3531887,-58.56277828
238.3675921,-0.844069,-0.034806969,-28.67232253,-30.77159395,-59.44391648
243.2374642,-0.850279,-0.035063052,-28.89213878,-30.70551059,-59.59764937
239.9407348,-0.868125,-0.035798969,-28.86433173,-31.84993568,-60.71426741
243.5308438,-0.877047,-0.036166887,-29.92401679,-30.13761522,-60.06163201
239.8713859,-0.89567,-0.036934845,-30.67206407,-33.3335139,-64.00557797
236.9155278,-0.907711,-0.037431381,-30.40770854,-32.1750155,-62.58272404
238.9994678,-0.922266,-0.038031588,-31.1371035,-29.49857146,-60.63567496
239.9999736,-0.946918,-0.039048165,-32.02178589,-31.77290642,-63.79469231
239.722113,-0.975388,-0.040222186,-32.0168828,-34.95792718,-66.97480998
239.7666506,-0.985744,-0.040649237,-32.0461642,-33.79297002,-65.83913422
239.1990986,-0.991031,-0.040867258,-33.62698281,-32.91342226,-66.54040507
239.8442249,-0.997017,-0.041114103,-32.18441082,-33.5588228,-65.74323362
242.1219775,-0.990849,-0.040859753,-32.52334135,-33.90086538,-66.42420673
242.4437757,-1.011321,-0.041703959,-33.98507997,-31.07257238,-65.05765235
244.133784,-0.998917,-0.041192454,-33.91125929,-28.95083423,-62.86209352
245.347175,-0.99205,-0.040909278,-33.68677996,-29.01345025,-62.70023021
246.1583795,-1.008099,-0.041571093,-33.4168356,-30.6140001,-64.0308357
246.1885457,-1.004065,-0.041404742,-32.51350088,-28.78073077,-61.29423165
245.9945706,-0.998122,-0.04115967,-29.51640869,-30.60084461,-60.1172533
245.574814,-0.990512,-0.040845856,-31.78431165,-23.14613856,-54.93045021
246.3516994,-0.99427,-0.041000825,-30.80924779,-27.81279991,-58.6220477
246.1382415,-0.985701,-0.040647464,-29.16530615,-27.73750432,-56.90281047
246.091408,-1.001906,-0.041315711,-29.25757343,-25.52816492,-54.78573835
245.714004,-0.988448,-0.040760742,-28.50033714,-27.11474344,-55.61508058
245.466145,-0.978981,-0.040370351,-27.4172681,-25.37736977,-52.79463787
245.3128283,-0.995755,-0.041062062,-24.69234895,-29.20748514,-53.89983409
245.0704888,-0.996291,-0.041084165,-26.30519195,-24.58542325,-50.8906152
244.8942744,-1.002372,-0.041334928,-23.55157429,-26.51839551,-50.0699698
244.6962549,-1.000601,-0.041261897,-22.41234256,-25.34205052,-47.75439308
244.57417,-0.989787,-0.040815959,-21.9812819,-23.43464138,-45.41592328
244.3399732,-0.992542,-0.040929567,-20.30847031,-24.52637655,-44.83484686
244.2560605,-0.995496,-0.041051381,-18.58090181,-25.22949805,-43.81039986
244.0860758,-0.966197,-0.039843175,-17.20553305,-23.90313976,-41.10867281
243.9521046,-0.922214,-0.038029443,-15.42163042,-26.98142094,-42.40305136
243.7436474,-0.885547,-0.036517402,-14.70159592,-25.1591995,-39.86079542
243.6545429,-0.866008,-0.03571167,-13.32890157,-26.20178007,-39.53068164
243.5374856,-0.845909,-0.034882845,-12.58558595,-26.44449365,-39.0300796
243.4049627,-0.836588,-0.034498474,-12.78493265,-25.69180962,-38.47674227
243.2833696,-0.828789,-0.034176866,-12.53682933,-24.73339695,-37.27022628
243.190057,-0.829678,-0.034213526,-11.62677429,-25.93000206,-37.55677635
243.0287344,-0.827493,-0.034123423,-12.6242278,-24.57308361,-37.19731141
242.8829865,-0.806866,-0.033272825,-13.29135691,-22.07092423,-35.36228114
242.744343,-0.823977,-0.033978433,-12.2280031,-23.6023313,-35.8303344
242.6399368,-0.810079,-0.03340532,-10.95745079,-27.61094653,-38.56839732
242.5158846,-0.79955,-0.032971134,-11.91797682,-23.46594939,-35.38392621
242.3834436,-0.798125,-0.032912371,-12.99477127,-23.98295649,-36.97772776
242.3016621,-0.806149,-0.033243258,-13.96321768,-23.917587,-37.88080468
242.2435706,-0.792994,-0.032700784,-12.45656263,-25.17714807,-37.6337107
242.1409952,-0.768964,-0.031709856,-10.74541777,-23.36308506,-34.10850283
242.0660993,-0.768264,-0.03168099,-9.07000034,-25.90355512,-34.97355546
242.0680394,-0.755809,-0.031167381,-8.91241565,-22.33933689,-31.25175254
241.9397518,-0.742282,-0.030609567,-9.58499645,-21.10020591,-30.68520236
241.8626427,-0.717794,-0.029599753,-7.9326887,-24.17661745,-32.10930615
241.755668,-0.675694,-0.02786367,-9.70959671,-16.97975208,-26.68934879
241.7562419,-0.67356,-0.02777567,-6.73489416,-23.19746874,-29.9323629
241.5558729,-0.665553,-0.027445485,-6.9070167,-23.23931474,-30.14633144
241.3745488,-0.663515,-0.027361443,-6.89930204,-20.8995423,-27.79884434
241.2721374,-0.650428,-0.026821773,-6.9702083,-17.68970628,-24.65991458
241.2980409,-0.652527,-0.02690833,-6.36599649,-19.5324258,-25.89842229
241.1924872,-0.641506,-0.026453856,-6.61235115,-17.8934973,-24.50584845
241.0379956,-0.645462,-0.02661699,-7.05596098,-17.61702818,-24.67298916
241.0452092,-0.64034,-0.026405773,-6.12413347,-16.6963143,-22.82044777
241.3988673,-0.626416,-0.025831588,-6.3765227,-18.94926735,-25.32579005
240.712263,-0.629128,-0.025943423,-9.19281766,-17.16382687,-26.35664453
241.4825893,-0.622978,-0.025689814,-10.65030464,-14.58406033,-25.23436497
240.5135066,-0.626511,-0.025835505,-7.78974471,-17.6456847,-25.43542941
241.3571975,-0.594491,-0.024515093,-6.10534399,-18.00683162,-24.11217561
244.8053054,-0.570962,-0.023544825,-3.2446812,-20.50059461,-23.74527581
240.6016814,-0.545169,-0.022481196,-3.25160725,-15.97813367,-19.22974092
240.4400856,-0.541818,-0.02234301,-4.17959457,-17.14509645,-21.32469102
240.2121192,-0.529241,-0.021824371,-3.96101267,-14.93725277,-18.89826544
240.3730597,-0.518971,-0.021400866,-2.89371581,-18.00652568,-20.90024149
240.8503325,-0.505531,-0.020846639,-3.26851091,-16.08592705,-19.35443796
240.9181242,-0.507967,-0.020947093,-2.57271757,-13.48263702,-16.05535459
240.444157,-0.509271,-0.021000866,-2.17357845,-16.13205623,-18.30563468
240.57433,-0.498241,-0.020546021,-1.66543981,-16.64294451,-18.30838432
240.6780803,-0.491736,-0.020277773,-1.30271386,-13.02124327,-14.32395713
240.4048375,-0.483971,-0.019957567,-0.0640145,-11.97893465,-12.04294915
240.5935663,-0.472699,-0.019492742,-1.36624833,-10.93264878,-12.29889711
240.5166757,-0.449835,-0.018549897,0.77012833,-14.11675172,-13.34662339
240.4279265,-0.440359,-0.018159134,1.49777463,-12.89471947,-11.39694484
240.490335,-0.428517,-0.017670804,1.4390061,-13.45513628,-12.01613018
240.3604082,-0.418126,-0.017242309,0.61785818,-10.48886367,-9.87100549
240.2495808,-0.425002,-0.017525856,1.38640929,-14.57753358,-13.19112429
240.4223524,-0.427999,-0.017649443,-0.75082455,-10.28507265,-11.0358972
240.3381116,-0.433173,-0.017862804,-1.62419212,-7.37318964,-8.99738176
240.1814068,-0.41696,-0.017194227,-0.83534289,-9.48666737,-10.32201026
240.4013946,-0.425822,-0.01755967,0.18618035,-10.89892723,-10.71274688
240.1792755,-0.422073,-0.017405072,2.26838298,-10.77610872,-8.50772574
240.1926644,-0.4096,-0.016890722,0.4138484,-6.47729101,-6.06344261
240.1506397,-0.421719,-0.017390474,1.34317293,-11.53973866,-10.19656573
239.9687966,-0.400134,-0.016500371,0.5527122,-7.46014501,-6.90743281
240.1038879,-0.404245,-0.016669897,1.72629986,-7.3028231,-5.57652324
240.1244357,-0.396082,-0.016333278,1.34766458,-6.80842167,-5.46075709
240.0156032,-0.402137,-0.016582969,1.86050058,-6.83150326,-4.97100268
239.9488773,-0.381148,-0.015717443,1.51046095,-6.6901243,-5.17966335
239.8654016,-0.368977,-0.015215546,2.00978773,-6.2091503,-4.19936257
239.786981,-0.370351,-0.015272206,1.26084899,-1.95224657,-0.69139758
239.7292995,-0.359873,-0.014840124,3.39019674,-5.4113909,-2.02119416
239.6086354,-0.344153,-0.014191876,4.03692487,-2.93785404,1.09907083
239.5042294,-0.346822,-0.014301938,3.19002715,-3.25902461,-0.06899746
239.5030818,-0.330436,-0.013626227,3.00278389,1.28927139,4.29205528
239.4006705,-0.340905,-0.014057938,3.52107158,-1.54629622,1.97477536
239.3680179,-0.328993,-0.013566722,3.90166125,-2.78532522,1.11633603
239.2288008,-0.323802,-0.01335266,3.26559648,-1.17546115,2.09013533
239.131581,-0.325003,-0.013402186,2.36140458,2.09039615,4.45180073
239.0363013,-0.314853,-0.012983629,3.11497212,0.00118977,3.11616189
238.9741659,-0.301845,-0.012447216,3.59657234,-1.55751407,2.03905827
238.8920292,-0.318948,-0.013152495,2.80645448,1.06844963,3.87490411
238.8148108,-0.319518,-0.013176,3.04519735,2.07295748,5.11815483
238.8184997,-0.302933,-0.012492082,2.96253053,-0.4501419,2.51238863
238.7232473,-0.30739,-0.012675876,4.86654177,-1.70222439,3.16431738
238.6438429,-0.307313,-0.012672701,2.90725931,1.53416054,4.44141985
238.6011079,-0.313834,-0.012941608,2.79047657,2.25846,5.04893657
238.6272571,-0.314931,-0.012986845,2.48730776,3.1612933,5.64860106
238.5383713,-0.30606,-0.012621031,5.4720565,-3.06396992,2.40808658
238.4579286,-0.286746,-0.011824577,5.41452231,-2.40014489,3.01437742
238.4755256,-0.283231,-0.011679629,4.81836803,-0.42036359,4.39800444
