Axial load (kN),lat disp top (mm),Lat drift,Lat Load_Resultant (kN),Total Load (kN)
248.0630502,-0.745085189,-0.030725162,-55.51895217,-55.51895217
248.104966,-0.756151931,-0.031181523,-56.2511406,-56.2511406
248.227434,-0.751497275,-0.030989578,-56.21806504,-56.21806504
247.9993568,-0.75641647,-0.031192432,-56.43026191,-56.43026191
248.0714934,-0.75957406,-0.031322642,-57.44936465,-57.44936465
247.9311006,-0.766049262,-0.03158966,-55.76413746,-55.76413746
247.9052795,-0.761853802,-0.031416652,-57.17548404,-57.17548404
247.795271,-0.767135826,-0.031634467,-57.05083063,-57.05083063
248.0466828,-0.780451475,-0.032183566,-59.38135755,-59.38135755
248.0203969,-0.794931475,-0.032780679,-57.25669685,-57.25669685
248.0864398,-0.800162895,-0.032996408,-59.60493814,-59.60493814
248.1255681,-0.816651487,-0.03367635,-57.45450525,-57.45450525
247.8457939,-0.825981133,-0.034061078,-59.51719638,-59.51719638
247.973645,-0.825244281,-0.034030692,-59.74749878,-59.74749878
248.0805922,-0.846449097,-0.034905117,-59.60236319,-59.60236319
248.0996102,-0.863755077,-0.035618766,-60.17361624,-60.17361624
248.0137019,-0.88245505,-0.036389899,-58.6888408,-58.6888408
247.994329,-0.902534716,-0.037217926,-61.42774354,-61.42774354
248.0758653,-0.910175229,-0.037532999,-61.77659032,-61.77659032
248.0345234,-0.916599634,-0.037797923,-62.40871152,-62.40871152
248.1811736,-0.925814772,-0.038177929,-61.73134732,-61.73134732
248.3910242,-0.925563106,-0.038167551,-62.21608219,-62.21608219
250.1979023,-0.933231396,-0.038483769,-62.65420294,-62.65420294
250.416142,-0.946768991,-0.03904202,-61.39033881,-61.39033881
250.4083272,-0.936758344,-0.03862921,-61.20564945,-61.20564945
250.2281777,-0.944429638,-0.038945552,-61.52326108,-61.52326108
250.2260464,-0.946592539,-0.039034744,-60.98731996,-60.98731996
250.2195431,-0.945933,-0.039007546,-61.48650803,-61.48650803
250.1597848,-0.952151875,-0.039263995,-63.40999722,-63.40999722
250.1260392,-0.949174096,-0.0391412,-59.38197969,-59.38197969
250.1432808,-0.947206287,-0.039060053,-63.19369235,-63.19369235
250.0830033,-0.955630694,-0.039407451,-63.90301997,-63.90301997
250.1349196,-0.965447238,-0.039812257,-63.82804391,-63.82804391
250.0628379,-0.97470762,-0.040194129,-62.57266318,-62.57266318
250.0509244,-0.982937149,-0.040533491,-63.59042875,-63.59042875
250.1003816,-0.993838855,-0.040983046,-66.19332438,-66.19332438
250.0548319,-1.006144501,-0.041490495,-65.03718917,-65.03718917
250.0367704,-1.006757382,-0.041515768,-63.56496702,-63.56496702
249.9937619,-1.009888988,-0.041644907,-66.21795846,-66.21795846
249.9199314,-1.00494861,-0.04144118,-65.05622071,-65.05622071
249.997724,-1.013377139,-0.041788748,-65.61141214,-65.61141214
250.0669639,-1.014575886,-0.041838181,-65.47255084,-65.47255084
249.96682,-1.012959595,-0.04177153,-64.43671848,-64.43671848
250.0110582,-1.022475293,-0.04216393,-65.60082774,-65.60082774
249.9611366,-1.030783373,-0.042506531,-66.3026799,-66.3026799
250.0119326,-1.03166517,-0.042542894,-67.41955782,-67.41955782
249.9525567,-1.033560305,-0.042621044,-66.44339856,-66.44339856
249.9486221,-1.054030839,-0.043465189,-67.40174258,-67.40174258
249.9844443,-1.060133486,-0.043716845,-66.03115674,-66.03115674
249.8824424,-1.068378343,-0.044056839,-69.06179852,-69.06179852
249.9546062,-1.070821711,-0.044157596,-70.08219195,-70.08219195
249.8893828,-1.08181668,-0.044610997,-68.97172245,-68.97172245
249.9543327,-1.088099455,-0.044870081,-69.64431337,-69.64431337
249.9424194,-1.090139549,-0.044954208,-69.94246366,-69.94246366
249.8917874,-1.099682209,-0.04534772,-69.80679812,-69.80679812
249.872305,-1.1030154,-0.045485171,-69.38266924,-69.38266924
249.8991921,-1.103011384,-0.045485006,-69.14194846,-69.14194846
249.9087833,-1.102051694,-0.045445431,-69.46965404,-69.46965404
249.9052311,-1.092295128,-0.045043098,-68.93255548,-68.93255548
249.8819231,-1.091584002,-0.045013773,-70.29369738,-70.29369738
249.8943285,-1.093754997,-0.045103299,-68.82915281,-68.82915281
249.8696819,-1.101308343,-0.045414777,-68.84225157,-68.84225157
249.8970064,-1.103897881,-0.045521562,-69.68923269,-69.68923269
249.8963506,-1.102514602,-0.04546452,-68.34689545,-68.34689545
249.9043292,-1.102748393,-0.045474161,-70.83676127,-70.83676127
249.9195762,-1.110844255,-0.045808011,-70.07532644,-70.07532644
